"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1733","Hootel Login","test","2026-07-08","passed","2026-07-08","TestHootel","test_hootel","",""
"szállások listázása","1092","Hootel List","test","2026-07-08","passed","2026-07-08","TestHootel","test_hootel","",""
